resource_id,org_id,service,region,created_at,state,tags_json
res_5fknjmvr,org_5iqvnb4g,database,sa-east,2025-08-16,stopped,"[""team:ml""]"
res_aj8x2bh2,org_y9v86wzs,compute,ap-south,2025-05-07,stopped,"[""pii:true"", ""costcenter:alpha"", ""backup:daily""]"
res_917rmpn6,org_cwi64ciy,compute,us-west,2025-06-06,stopped,
res_7xncmldq,org_w3zp08j3,storage,ap-south,2025-08-20,stopped,"[""pii:true""]"
res_05ev5kz3,org_i3qk2iag,compute,ap-northeast,2025-08-09,running,
res_qy5sxaw7,org_pbhsahxt,networking,sa-east,2025-06-28,running,"[""costcenter:beta"", ""team:core""]"
res_w580yir0,org_ykl1cq99,networking,ap-northeast,2025-06-05,running,
res_m77rxzdn,org_4zw9xa3k,genai,ap-northeast,2025-05-04,running,"[""env:dev""]"
res_z552zbrd,org_3t60rjiw,genai,sa-east,2025-07-10,running,"[""backup:daily"", ""team:ml"", ""env:dev""]"
res_8rtig7zd,org_x7eedtjv,networking,eu-west,2025-08-13,running,
res_7lnkzx8y,org_ir4cowgz,storage,ap-south,2025-06-11,running,"[""env:prod""]"
res_7wr2liu7,org_ofqewaou,storage,us-west,2025-05-20,running,"[""team:ml"", ""costcenter:beta""]"
res_m600x28p,org_0lzjjege,compute,us-west,2025-08-17,stopped,"[""env:dev"", ""team:ml""]"
res_jkemvg7u,org_uzfk8ut0,compute,sa-east,2025-06-28,running,"[""env:prod"", ""pii:true"", ""backup:daily""]"
res_8uact49l,org_ujv6oh9s,storage,sa-east,2025-06-15,terminated,"[""costcenter:beta""]"
res_27exvda4,org_1swjckjl,database,us-east,2025-06-18,running,"[""costcenter:beta"", ""team:ml"", ""env:prod""]"
res_4rqvfx2z,org_i7p5tb94,storage,eu-west,2025-05-23,running,"[""costcenter:beta"", ""env:prod""]"
res_syj4uwhk,org_uzfk8ut0,networking,us-east,2025-08-03,stopped,"[""pii:true"", ""team:core""]"
res_9l3h03zb,org_h2m5zja8,genai,ap-northeast,2025-05-09,running,"[""env:prod""]"
res_40k36fao,org_pbhsahxt,genai,us-east,2025-05-11,stopped,"[""pii:true"", ""costcenter:beta"", ""env:dev""]"
res_91otkzh4,org_ohp6vz41,database,sa-east,2025-08-05,stopped,"[""pii:true"", ""team:core""]"
res_e1u24zqf,org_chj755nf,storage,us-east,2025-05-19,running,"[""env:prod"", ""env:dev"", ""costcenter:beta""]"
res_r6h2hxn4,org_x7eedtjv,genai,ap-northeast,2025-07-21,stopped,"[""team:ml"", ""costcenter:beta"", ""backup:daily""]"
res_n9ygcmr8,org_g8sbi4q2,networking,ap-northeast,2025-06-13,stopped,"[""team:ml"", ""costcenter:alpha""]"
res_xv8wobir,org_okep7y6w,compute,ap-south,2025-07-05,running,"[""env:prod"", ""costcenter:beta""]"
res_019ydq3n,org_53lc58dr,analytics,ap-northeast,2025-06-26,running,"[""backup:daily""]"
res_necrysau,org_dhylurtp,database,us-west,2025-07-14,stopped,"[""backup:daily"", ""env:prod"", ""costcenter:beta""]"
res_02grxpud,org_pseimvih,storage,us-west,2025-05-12,stopped,"[""team:ml""]"
res_z5tozo32,org_5lxo6qji,compute,eu-west,2025-05-08,running,"[""backup:daily""]"
res_c4t3x1hx,org_0lzjjege,networking,ap-northeast,2025-05-22,running,"[""team:ml""]"
res_gvgt2eeh,org_dhylurtp,networking,sa-east,2025-07-12,running,"[""env:prod""]"
res_dj1dek8g,org_h2m5zja8,networking,eu-west,2025-06-02,running,
res_ib86ktfr,org_tvhhpbmy,genai,us-east,2025-07-02,terminated,"[""costcenter:beta""]"
res_s9mthd3i,org_om5igqpk,genai,sa-east,2025-07-02,running,"[""env:dev"", ""team:ml""]"
res_k38vhmew,org_t1ghr09s,compute,ap-south,2025-08-12,running,"[""team:ml"", ""costcenter:alpha"", ""env:prod""]"
res_jxfq8y7f,org_i7p5tb94,compute,sa-east,2025-07-24,terminated,
res_c09zgnx3,org_9t84azyt,database,eu-west,2025-05-07,stopped,"[""env:prod"", ""env:dev"", ""team:ml""]"
res_l2n8ijty,org_tvhhpbmy,networking,us-west,2025-06-03,running,"[""pii:true"", ""team:core""]"
res_ld62f2jd,org_chj755nf,networking,ap-northeast,2025-08-20,running,"[""env:dev""]"
res_nd7g0l3r,org_axeqbnhl,analytics,eu-central,2025-05-26,terminated,"[""costcenter:beta"", ""backup:daily""]"
res_ukjdbl1g,org_g0fn9xuy,storage,us-east,2025-06-29,stopped,"[""pii:true""]"
res_reasfen0,org_53lc58dr,compute,eu-central,2025-06-07,stopped,"[""team:core"", ""costcenter:beta"", ""pii:true""]"
res_9zivzg92,org_zbikcidk,genai,eu-west,2025-06-24,running,
res_8sz7iwdl,org_ly8ozcyw,genai,ap-northeast,2025-07-27,running,"[""costcenter:beta"", ""pii:true"", ""team:core""]"
res_wcidudk7,org_y9v86wzs,storage,ap-northeast,2025-05-12,running,
res_y7eryyte,org_teiyzcot,analytics,ap-northeast,2025-07-20,running,
res_60zz0i08,org_fel6246h,compute,ap-northeast,2025-08-21,running,"[""team:core""]"
res_v8y5sic4,org_4zw9xa3k,compute,ap-northeast,2025-05-14,running,
res_rg8my344,org_nam148p0,storage,us-west,2025-05-08,terminated,"[""costcenter:alpha"", ""env:prod"", ""env:dev""]"
res_kh0uhk7x,org_teiyzcot,compute,us-west,2025-08-01,stopped,"[""team:core"", ""env:dev""]"
res_64caqkdm,org_okep7y6w,networking,us-west,2025-07-15,running,"[""env:prod"", ""env:dev"", ""backup:daily""]"
res_apht6o6a,org_a7tz0ync,genai,ap-northeast,2025-06-29,stopped,"[""costcenter:alpha"", ""team:ml"", ""env:dev""]"
res_okpg3dp4,org_ir4cowgz,database,ap-northeast,2025-05-05,running,"[""env:prod""]"
res_f0a5zdke,org_i3qk2iag,storage,eu-central,2025-07-21,running,"[""pii:true"", ""costcenter:beta"", ""env:prod""]"
res_6fhrxjpt,org_okep7y6w,genai,sa-east,2025-05-18,running,"[""env:prod""]"
res_l15s74nd,org_pnsm43d8,compute,eu-west,2025-06-25,running,"[""team:ml"", ""pii:true""]"
res_afs1iym9,org_3t60rjiw,compute,ap-south,2025-06-11,running,"[""team:core"", ""env:dev"", ""pii:true""]"
res_kr1ifsi1,org_pnsm43d8,compute,ap-northeast,2025-08-06,stopped,"[""costcenter:alpha"", ""costcenter:beta"", ""team:ml""]"
res_xpr2d0vg,org_h2m5zja8,networking,ap-south,2025-07-12,stopped,
res_ieb97pwd,org_cwi64ciy,compute,ap-northeast,2025-08-03,running,"[""team:core"", ""env:dev"", ""pii:true""]"
res_sz9hpcpb,org_h2m5zja8,genai,sa-east,2025-05-05,terminated,"[""team:ml"", ""env:prod"", ""pii:true""]"
res_kmplbbb0,org_9mx2x18h,database,us-east,2025-05-24,running,"[""env:dev"", ""env:prod""]"
res_q6dg8nkd,org_trp0j43d,compute,eu-west,2025-07-04,running,"[""team:core"", ""costcenter:beta"", ""costcenter:alpha""]"
res_1em30vvi,org_1n13jcat,database,eu-central,2025-07-07,running,"[""costcenter:alpha""]"
res_hn5e0ev6,org_53lc58dr,compute,ap-south,2025-07-26,stopped,"[""env:dev"", ""team:ml""]"
res_z7ctm09h,org_pbhsahxt,database,eu-central,2025-05-21,stopped,"[""env:prod""]"
res_bgtj5469,org_874frhoc,database,ap-northeast,2025-05-04,running,"[""costcenter:beta"", ""env:dev""]"
res_weprs82g,org_1t2tala7,compute,eu-west,2025-06-14,stopped,"[""costcenter:alpha"", ""costcenter:beta"", ""team:ml""]"
res_k8c9g3rt,org_5iqvnb4g,networking,eu-west,2025-06-18,stopped,"[""team:ml""]"
res_f1n2ojgf,org_0lzjjege,storage,sa-east,2025-06-15,running,"[""env:dev"", ""costcenter:alpha""]"
res_z52qzskh,org_dbdw2pcn,compute,us-east,2025-08-13,running,"[""costcenter:alpha"", ""backup:daily""]"
res_eitkx7je,org_axeqbnhl,analytics,us-west,2025-06-30,running,"[""team:core"", ""costcenter:beta"", ""team:ml""]"
res_9hexw8l8,org_dzr1yxr2,storage,us-west,2025-08-07,stopped,"[""costcenter:alpha""]"
res_zowlc33h,org_ktakpuxq,networking,ap-south,2025-05-25,running,"[""costcenter:alpha""]"
res_g8t922d0,org_d14ve92m,storage,eu-central,2025-07-02,terminated,
res_8jwvhplh,org_dbdw2pcn,database,eu-west,2025-07-19,stopped,"[""pii:true"", ""team:ml""]"
res_q0pfrrq3,org_5935a0l7,database,sa-east,2025-06-10,running,"[""env:prod""]"
res_gr0xafgo,org_sg65kxvf,networking,eu-west,2025-06-27,running,"[""env:dev"", ""team:core""]"
res_fpqxo0e1,org_5lxo6qji,compute,us-west,2025-08-10,running,"[""team:core"", ""costcenter:alpha"", ""backup:daily""]"
res_na31xbid,org_pbhsahxt,compute,us-west,2025-06-18,running,"[""env:prod""]"
res_7v2a2t34,org_1n13jcat,database,us-west,2025-06-21,running,"[""team:ml"", ""backup:daily"", ""pii:true""]"
res_rupflfcy,org_gv0e38da,storage,us-west,2025-07-24,stopped,"[""team:ml""]"
res_abtd5oai,org_zhwjr64d,compute,sa-east,2025-05-10,running,"[""env:dev"", ""backup:daily""]"
res_nmk7yyz6,org_rixa11dp,database,ap-northeast,2025-07-01,stopped,
res_i8kcmm7d,org_cvs4f8cg,networking,sa-east,2025-05-05,running,"[""team:core"", ""costcenter:alpha"", ""team:ml""]"
res_gtvyfyk3,org_5lxo6qji,networking,sa-east,2025-05-27,running,"[""costcenter:beta""]"
res_5jrnj622,org_874frhoc,networking,us-west,2025-06-12,running,
res_2ffq293e,org_pnsm43d8,storage,us-west,2025-06-06,stopped,"[""pii:true"", ""costcenter:beta"", ""env:prod""]"
res_fle1mrr9,org_id25owf7,storage,ap-northeast,2025-06-27,running,
res_e77nttrt,org_zbikcidk,compute,sa-east,2025-06-21,running,"[""env:dev"", ""backup:daily""]"
res_dzs13hdn,org_pja1wj0t,compute,ap-northeast,2025-07-06,running,"[""env:dev""]"
res_9au87cm4,org_vyie6ivw,storage,eu-west,2025-05-04,terminated,
res_q4t7phi0,org_8mdd4v30,networking,ap-south,2025-05-23,running,
res_f0zpbdur,org_trp0j43d,database,ap-south,2025-08-06,stopped,"[""env:prod"", ""team:core"", ""team:ml""]"
res_nccu3fg0,org_sg65kxvf,genai,us-west,2025-07-22,running,
res_q0pxaecx,org_dppq0y9d,genai,ap-northeast,2025-05-23,running,"[""env:prod"", ""costcenter:alpha"", ""team:ml""]"
res_a3y5t37s,org_okep7y6w,database,ap-south,2025-07-09,running,"[""env:dev"", ""backup:daily"", ""team:ml""]"
res_jdn80oco,org_jxepq85j,database,us-west,2025-07-10,running,"[""team:ml"", ""pii:true""]"
res_yrxonbnp,org_kdgigatj,compute,ap-northeast,2025-06-20,stopped,"[""costcenter:alpha"", ""team:core""]"
res_dn2mifdh,org_fel6246h,storage,us-east,2025-06-26,running,"[""team:core""]"
res_1ltwbj9u,org_4zw9xa3k,analytics,us-west,2025-08-05,running,
res_bl7amkoh,org_dhylurtp,storage,us-east,2025-06-24,running,
res_9zdo0d3f,org_53lc58dr,database,eu-west,2025-05-10,stopped,"[""pii:true"", ""env:dev""]"
res_v4kfq5dz,org_axeqbnhl,networking,us-west,2025-07-24,stopped,
res_yfz9s9vs,org_d14ve92m,compute,eu-central,2025-05-05,stopped,
res_2mm4p61n,org_rixa11dp,genai,ap-northeast,2025-07-08,running,"[""env:dev"", ""costcenter:alpha""]"
res_v8u9da1l,org_he7ur23g,compute,us-west,2025-08-01,running,"[""team:ml""]"
res_rqgkcumc,org_w3zp08j3,genai,ap-south,2025-05-13,running,"[""backup:daily"", ""env:prod"", ""env:dev""]"
res_91p778rn,org_pht0hl9x,storage,ap-south,2025-07-11,running,"[""costcenter:alpha"", ""env:dev""]"
res_owypswld,org_ktakpuxq,compute,us-east,2025-05-13,running,"[""pii:true"", ""costcenter:alpha"", ""env:dev""]"
res_j5ywx0i3,org_nam148p0,database,us-west,2025-05-11,running,"[""team:core"", ""team:ml""]"
res_4kfocnqd,org_phr62gds,compute,eu-west,2025-06-08,stopped,"[""backup:daily"", ""env:dev"", ""costcenter:beta""]"
res_t3dgd8op,org_pnsm43d8,compute,eu-west,2025-08-11,stopped,"[""pii:true""]"
res_ll9rzrkb,org_a7tz0ync,storage,us-east,2025-05-23,terminated,
res_fhu91c32,org_ykl1cq99,storage,us-east,2025-08-06,running,"[""backup:daily""]"
res_hha1pjgf,org_uzfk8ut0,compute,us-west,2025-05-05,running,"[""costcenter:alpha"", ""env:dev""]"
res_c5qph6gb,org_h2m5zja8,genai,us-east,2025-05-15,running,"[""pii:true"", ""env:prod""]"
res_8kh7rt28,org_afeyuhz1,storage,ap-northeast,2025-08-03,running,"[""pii:true"", ""env:prod"", ""costcenter:beta""]"
res_u3u6h0uf,org_253j2d54,analytics,us-east,2025-07-01,running,
res_a67rl2yj,org_hv3a3zmf,compute,us-east,2025-05-09,running,"[""team:core"", ""env:dev"", ""team:ml""]"
res_wxub0gz1,org_cwi64ciy,compute,eu-central,2025-05-10,running,
res_hhgy8nnk,org_g0fn9xuy,networking,ap-northeast,2025-07-01,running,
res_zxqomts1,org_wm31yiha,database,ap-south,2025-07-10,stopped,"[""team:ml"", ""backup:daily""]"
res_qntfpkxy,org_xll4zklo,database,ap-south,2025-06-08,running,
res_z76dd4da,org_dhylurtp,compute,us-west,2025-07-05,running,"[""pii:true""]"
res_d0wtws3y,org_jxepq85j,networking,us-east,2025-05-09,stopped,"[""pii:true""]"
res_h1te48m2,org_a7tz0ync,compute,eu-west,2025-07-25,running,"[""backup:daily""]"
res_o3z0anik,org_1t2tala7,database,us-east,2025-06-18,stopped,"[""costcenter:alpha"", ""env:prod"", ""env:dev""]"
res_ya6ba24s,org_chj755nf,genai,us-west,2025-08-14,running,"[""costcenter:beta""]"
res_m89i9gx3,org_7e8g8jdp,networking,eu-central,2025-06-24,running,"[""pii:true"", ""team:ml""]"
res_7o0olfiz,org_l58kxo9t,storage,us-east,2025-07-25,running,"[""env:prod""]"
res_sw24wjt8,org_he7ur23g,database,ap-northeast,2025-08-14,running,"[""env:dev"", ""team:core""]"
res_dpwvbz7c,org_nam148p0,storage,ap-south,2025-05-21,terminated,"[""pii:true""]"
res_a09w1gxh,org_rixa11dp,genai,us-east,2025-07-06,running,"[""env:dev"", ""costcenter:alpha"", ""team:ml""]"
res_03njbcfa,org_1n13jcat,compute,us-east,2025-05-24,running,"[""team:ml"", ""team:core"", ""env:dev""]"
res_7efjgc46,org_sg65kxvf,database,eu-central,2025-05-04,stopped,
res_orac8cyn,org_5935a0l7,compute,sa-east,2025-05-25,running,"[""costcenter:beta""]"
res_wqfk6xw4,org_n9j2qp89,storage,ap-northeast,2025-07-25,stopped,"[""team:ml""]"
res_99rwtf07,org_9t84azyt,database,eu-west,2025-06-27,stopped,
res_basf5ehl,org_5lxo6qji,compute,ap-south,2025-07-12,running,"[""env:dev"", ""team:core"", ""costcenter:beta""]"
res_yejhdzxq,org_ofqewaou,networking,us-east,2025-07-29,running,"[""backup:daily""]"
res_p87jh4z8,org_okep7y6w,networking,eu-west,2025-05-18,stopped,"[""team:ml"", ""costcenter:alpha""]"
res_2vfhzpqv,org_dppq0y9d,compute,us-east,2025-06-23,running,"[""costcenter:alpha"", ""pii:true""]"
res_ldnhm63q,org_1t2tala7,compute,ap-northeast,2025-06-04,stopped,"[""team:core"", ""costcenter:alpha""]"
res_jov58toe,org_w3zp08j3,storage,eu-west,2025-05-21,running,
res_pgihnfla,org_jxepq85j,compute,us-east,2025-06-28,running,"[""team:core"", ""costcenter:beta"", ""env:prod""]"
res_hulickhh,org_axeqbnhl,networking,eu-central,2025-06-20,running,"[""costcenter:alpha""]"
res_z83yuxyp,org_ujv6oh9s,database,us-east,2025-06-07,terminated,"[""costcenter:beta"", ""team:ml""]"
res_h2r9pegl,org_1n13jcat,compute,sa-east,2025-06-12,running,"[""pii:true"", ""team:ml"", ""costcenter:alpha""]"
res_aa2uaqe8,org_d14ve92m,compute,eu-central,2025-05-26,terminated,"[""team:core""]"
res_67bxcd20,org_wnnhj7xv,compute,ap-south,2025-05-30,running,"[""costcenter:alpha"", ""env:prod"", ""pii:true""]"
res_oulwozq4,org_i3qk2iag,compute,eu-central,2025-06-29,stopped,"[""team:ml""]"
res_47di3e95,org_dppq0y9d,genai,eu-central,2025-05-17,stopped,
res_gg6n6975,org_chj755nf,compute,ap-northeast,2025-06-03,running,"[""costcenter:alpha"", ""pii:true"", ""team:core""]"
res_d8clw3jg,org_w3zp08j3,networking,ap-northeast,2025-05-21,stopped,"[""env:prod"", ""costcenter:alpha"", ""env:dev""]"
res_elfv46wy,org_pnsm43d8,networking,eu-west,2025-07-28,running,"[""env:dev"", ""costcenter:alpha"", ""backup:daily""]"
res_x9l0ijkc,org_x7eedtjv,database,ap-northeast,2025-08-10,running,"[""env:dev"", ""costcenter:beta""]"
res_x4zcrhyq,org_uzfk8ut0,genai,sa-east,2025-08-09,stopped,"[""pii:true"", ""team:ml""]"
res_rm31sl7z,org_trp0j43d,database,us-west,2025-07-23,stopped,"[""env:prod"", ""pii:true""]"
